Attrition,EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,MonthlyIncome,OverTime,EducationField,BusinessTravel,DistanceFromHome,JobLevel,JobInvolvement,JobSatisfaction,PerformanceRating,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,1,41,Female,Single,Sales,Sales Executive,5993,Yes,Life Sciences,Travel_Rarely,1,2,3,4,3,11,0,0,8,8,6,4,0,5
0,2,49,Male,Married,Research & Development,Research Scientist,5130,No,Life Sciences,Travel_Frequently,8,2,2,2,4,23,1,3,10,1,10,7,1,7
1,4,37,Male,Single,Research & Development,Laboratory Technician,2090,Yes,Other,Travel_Rarely,2,1,2,3,3,15,0,3,7,6,0,0,0,0
0,5,33,Female,Married,Research & Development,Research Scientist,2909,Yes,Life Sciences,Travel_Frequently,3,1,3,3,3,11,0,3,8,1,8,7,3,0
0,7,27,Male,Married,Research & Development,Laboratory Technician,3468,No,Medical,Travel_Rarely,2,1,3,2,3,12,1,3,6,9,2,2,2,2
0,8,32,Male,Single,Research & Development,Laboratory Technician,3068,No,Life Sciences,Travel_Frequently,2,1,3,4,3,13,0,2,8,0,7,7,3,6
0,10,59,Female,Married,Research & Development,Laboratory Technician,2670,Yes,Medical,Travel_Rarely,3,1,4,1,4,20,3,3,12,4,1,0,0,0
0,11,30,Male,Divorced,Research & Development,Laboratory Technician,2693,No,Life Sciences,Travel_Rarely,24,1,3,3,4,22,1,2,1,1,1,0,0,0
0,12,38,Male,Single,Research & Development,Manufacturing Director,9526,No,Life Sciences,Travel_Frequently,23,3,2,3,4,21,0,2,10,0,9,7,1,8
0,13,36,Male,Married,Research & Development,Healthcare Representative,5237,No,Medical,Travel_Rarely,27,2,3,3,3,13,2,3,17,6,7,7,7,7
0,14,35,Male,Married,Research & Development,Laboratory Technician,2426,No,Medical,Travel_Rarely,16,1,4,2,3,13,1,5,6,0,5,4,0,3
0,15,29,Female,Single,Research & Development,Laboratory Technician,4193,Yes,Life Sciences,Travel_Rarely,15,2,2,3,3,12,0,3,10,0,9,5,0,8
0,16,31,Male,Divorced,Research & Development,Research Scientist,2911,No,Life Sciences,Travel_Rarely,26,1,3,3,3,17,1,1,5,1,5,2,4,3
0,18,34,Male,Divorced,Research & Development,Laboratory Technician,2661,No,Medical,Travel_Rarely,19,1,3,4,3,11,1,2,3,0,2,2,1,2
1,19,28,Male,Single,Research & Development,Laboratory Technician,2028,Yes,Life Sciences,Travel_Rarely,24,1,2,3,3,14,0,4,6,5,4,2,0,3
0,20,29,Female,Divorced,Research & Development,Manufacturing Director,9980,No,Life Sciences,Travel_Rarely,21,3,4,1,3,11,1,1,10,1,10,9,8,8
0,21,32,Male,Divorced,Research & Development,Research Scientist,3298,Yes,Life Sciences,Travel_Rarely,5,1,4,2,3,12,2,5,7,0,6,2,0,5
0,22,22,Male,Divorced,Research & Development,Laboratory Technician,2935,Yes,Medical,Non-Travel,16,1,4,4,3,13,2,2,1,1,1,0,0,0
0,23,53,Female,Married,Sales,Manager,15427,No,Life Sciences,Travel_Rarely,2,4,2,4,3,16,0,3,31,2,25,8,3,7
0,24,38,Male,Single,Research & Development,Research Scientist,3944,Yes,Life Sciences,Travel_Rarely,2,1,3,4,3,11,0,3,6,5,3,2,1,2
0,26,24,Female,Divorced,Research & Development,Manufacturing Director,4011,No,Other,Non-Travel,11,2,4,3,3,18,1,5,5,0,4,2,1,3
1,27,36,Male,Single,Sales,Sales Representative,3407,No,Life Sciences,Travel_Rarely,9,1,2,1,4,23,0,4,10,7,5,3,0,3
0,28,34,Female,Single,Research & Development,Research Director,11994,No,Life Sciences,Travel_Rarely,7,3,3,2,3,11,0,4,13,0,12,6,2,11
0,30,21,Male,Single,Research & Development,Research Scientist,1232,No,Life Sciences,Travel_Rarely,15,1,3,4,3,14,0,6,0,1,0,0,0,0
1,31,34,Male,Single,Research & Development,Research Scientist,2960,No,Medical,Travel_Rarely,6,1,3,1,3,11,0,2,8,2,4,2,1,3
0,32,53,Female,Divorced,Research & Development,Manager,19094,No,Other,Travel_Rarely,5,5,3,3,3,11,1,3,26,4,14,13,4,8
1,33,32,Female,Single,Research & Development,Research Scientist,3919,Yes,Life Sciences,Travel_Frequently,16,1,1,1,4,22,0,5,10,1,10,2,6,7
0,35,42,Male,Married,Sales,Sales Executive,6825,No,Marketing,Travel_Rarely,8,2,3,2,3,11,1,2,10,0,9,7,4,2
0,36,44,Female,Married,Research & Development,Healthcare Representative,10248,No,Medical,Travel_Rarely,7,3,2,4,3,14,1,4,24,3,22,6,5,17
0,38,46,Female,Single,Sales,Manager,18947,No,Marketing,Travel_Rarely,2,5,3,1,3,12,0,2,22,3,2,2,2,1
0,39,33,Male,Single,Research & Development,Laboratory Technician,2496,No,Medical,Travel_Rarely,2,1,3,4,3,11,0,3,7,4,1,1,0,0
0,40,44,Male,Married,Research & Development,Healthcare Representative,6465,Yes,Other,Travel_Rarely,10,2,3,4,3,13,0,5,9,2,4,2,1,3
0,41,30,Male,Single,Research & Development,Laboratory Technician,2206,No,Medical,Travel_Rarely,9,1,2,3,3,13,0,5,10,1,10,0,1,8
1,42,39,Male,Married,Sales,Sales Representative,2086,No,Technical Degree,Travel_Rarely,5,2,3,4,3,14,1,6,19,3,1,0,0,0
1,45,24,Male,Married,Research & Development,Research Scientist,2293,Yes,Medical,Travel_Rarely,1,1,3,4,3,16,1,2,6,2,2,0,2,0
0,46,43,Female,Divorced,Research & Development,Research Scientist,2645,No,Medical,Travel_Rarely,2,1,4,3,3,12,2,3,6,1,5,3,1,4
